"Олимпиады","Статус участника","Дополнительно"
"I, II и III уровень по профилям, соответствующим общеобразовательным предметам
                    «Математика», «Информатика
                    и ИКТ», «Физика» или «Информатика и вычислительная техника» за 9, 10 или 11 класс из перечня олимпиад
                    школьников, утвержденного Приказами Министерства образования и науки Российской Федерации*","призер, победитель заключительного этапа","Подтверждение гранта результатом ЕГЭ по 1му экзамену - по профильному предмету олимпиады в размере 75 баллов"
"Всероссийская олимпиада школьников по общеобразовательным предметам «Математика»,
                    «Информатика и ИКТ» или «Физика» или «Технология» за 9, 10 или 11 класс","призер, победитель заключительного этапа","Подтверждение гранта результатом ЕГЭ по 1му экзамену - по профильному предмету олимпиады в размере 75 баллов"
"«Всероссийская робототехническая олимпиада» за 10 или 11 класс","победитель заключительного этапа"," "
"«World Robot Olympiad» за выпускной или предшествующий ему класс","член сборной страны"," "
"«International Olympiad in Informatics» за выпускной или предшествующий ему класс","член сборной страны"," "
"«European Junior Olympiad in Informatics» за выпускной или предшествующий ему класс","член сборной страны"," "
"«International Physics Olympiad» за выпускной или предшествующий ему класс","член сборной страны"," "
"«International Mathematical Olympiad» за выпускной или предшествующий ему класс","член сборной страны"," "
"International Autumn Tournament in Informatics за выпускной или предшествующий ему класс","член сборной страны"," "
"Romanian Master of Informatics за выпускной или предшествующий ему класс","член сборной страны"," "
"Молодежный конкурс Regeneron ISEF за выпускной или предшествующий ему класс","член сборной страны"," "
"Олимпиада Innopolis Open по информатике, математике, информационной безопасности, искусственному интеллекту, финтеху и робототехнике","призер, победитель заключительного этапа"," "
"Молодежный конкурс научно-технических проектов РОСТ за выпускной или предшествующий ему класс","победитель заключительного этапа"," "
"«Командная олимпиада школьников по программированию» за 10 или 11 класс","призер, победитель заключительного этапа"," "
"Олимпиада Университета Иннополис ""Innopolis Open"" по робототехнике за выпускной или предшествующий ему класс","призер, победитель заключительного этапа"," "
"Турнир по компьютерной безопасности для школьников InnoCTF Junior за выпускной или предшествующий ему класс","призер, победитель заключительного этапа"," "
